name,status
Potos_flavus,Least Concern
Lutra_lutra,Near Threatened
Phoca_vitulina,Least Concern
Mustela_nivalis,Least Concern
Felis_catus,Least Concern
Mustela_erminea,Least Concern
Vulpes_vulpes,Least Concern
Martes_martes,Least Concern
Meles_meles,Least Concern
Canis_lupus,Least Concern
Lynx_lynx,Critically Endangered
Gulo_gulo,Least Concern
Ursus_arctos,Least Concern
Halichoerus_grypus,Least Concern
Ursus_maritimus,Vulnerable
Arctocephalus_pusillus,Least Concern
Procyon_lotor,Least Concern
Genetta_genetta,Least Concern
Martes_foina,Least Concern
Canis_latrans,Least Concern
Nyctereutes_procyonoides,Least Concern
Mirounga_angustirostris,Least Concern
Pusa_hispida,Least Concern
Martes_flavigula,Least Concern
Enhydra_lutris,Endangered
Helogale_parvula,Least Concern
Cystophora_cristata,Vulnerable
Crocuta_crocuta,Least Concern
Leptailurus_serval,Least Concern
Felis_chaus,Least Concern
Prionailurus_bengalensis,Critically Endangered
Zalophus_californianus,Least Concern
Eumetopias_jubatus,Endangered
Leopardus_pardalis,Least Concern
Urocyon_cinereoargenteus,Least Concern
Eira_barbara,Least Concern
Suricata_suricatta,Least Concern
Odobenus_rosmarus,Near Threatened
Ursus_americanus,Least Concern
Mellivora_capensis,Least Concern
Arctocephalus_forsteri,Least Concern
Herpestes_javanicus,Least Concern
Erignathus_barbatus,Least Concern
Felis_silvestris,Least Concern
Nasua_nasua,Least Concern
Caracal_caracal,Least Concern
Puma_concolor,Least Concern
Galidia_elegans,Least Concern
Lynx_rufus,Least Concern
Phocarctos_hookeri,Endangered
Otocyon_megalotis,Least Concern
Martes_americana,Least Concern
Genetta_maculata,Least Concern
Chrysocyon_brachyurus,Near Threatened
Leopardus_tigrinus,Vulnerable
Ictonyx_striatus,Least Concern
Genetta_tigrina,Least Concern
Genetta_pardina,Least Concern
Panthera_leo,Vulnerable
Panthera_pardus,Critically Endangered
Lycaon_pictus,Endangered
Atilax_paludinosus,Least Concern
Acinonyx_jubatus,Vulnerable
Nandinia_binotata,Least Concern
Mustela_lutreola,Critically Endangered
Mustela_frenata,Least Concern
Bassariscus_astutus,Least Concern
Paguma_larvata,Least Concern
Prionodon_linsang,Least Concern
Callorhinus_ursinus,Vulnerable
Mephitis_mephitis,Least Concern
Spilogale_putorius,Vulnerable
Martes_melampus,Least Concern
Viverricula_indica,Least Concern
Mustela_sibirica,Least Concern
Arctictis_binturong,Vulnerable
Mephitis_macroura,Least Concern
Prionailurus_viverrinus,Vulnerable
Mustela_nigripes,Endangered
Taxidea_taxus,Least Concern
Monachus_schauinslandi,Endangered
Spilogale_gracilis,Least Concern
Melogale_moschata,Least Concern
Vulpes_corsac,Least Concern
Tremarctos_ornatus,Vulnerable
Vulpes_macrotis,Least Concern
Panthera_tigris,Endangered
Phoca_largha,Least Concern
Helarctos_malayanus,Vulnerable
Cuon_alpinus,Endangered
Vormela_peregusna,Vulnerable
Uncia_uncia,Vulnerable
Pusa_sibirica,Least Concern
Leopardus_geoffroyi,Least Concern
Galictis_vittata,Least Concern
Ursus_thibetanus,Vulnerable
Atelocynus_microtis,Near Threatened
Neofelis_nebulosa,Vulnerable
Hemigalus_derbyanus,Near Threatened
Cryptoprocta_ferox,Vulnerable
Leopardus_colocolo,Near Threatened
Speothos_venaticus,Near Threatened
Ailurus_fulgens,Endangered
Mustela_altaica,Near Threatened
Martes_zibellina,Least Concern
Mustela_itatsi,Near Threatened
Felis_margarita,Least Concern
Ailuropoda_melanoleuca,Vulnerable
Fossa_fossana,Vulnerable
Felis_nigripes,Vulnerable