number,name
17026,Phocarctos hookeri
136866,Neofelis diardi
136889,Prionailurus bengalensis
136945,Neofelis diardi
15952,Panthera leo
20468,Speothos venaticus
3748,Canis simensis
6924,Atelocynus microtis
22781,Urocyon littoralis
22823,Ursus maritimus
23052,Vulpes pallida
5674,Crocuta crocuta
10274,Hyaena hyaena
18372,Proteles cristata
48637946,Bassaricyon gabbii
2675,Bdeogale jacksoni
4806,Chrotogale owstoni
5760,Cryptoprocta ferox
6082,Cynogale bennettii
6635,Diplogale hosei
8668,Fossa fossana
8833,Galidictis fasciata
8834,Galidictis grandidieri
8994,Genetta abyssinica
8997,Genetta johnstoni
8998,Genetta cristata
9561,Gulo gulo
11933,Liberiictis kuhni
12592,Macrogalidia musschenbroekii
12848,Martes martes
13110,Melogale everetti
13922,Mungos gambianus
13923,Mungotictis decemlineata
14018,Mustela lutreola
14019,Mustela lutreolina
14020,Mustela nigripes
14025,Mustela africana
14026,Mustela felipei
14027,Mustela strigidorsa
14055,Mydaus marchei
72261737,Nasuella olivacea
15628,Genetta piscivora
16104,Paradoxurus jerdoni
18267,Procyon pygmaeus
19852,Salanoia concolor
23036,Viverra civettina
29672,Martes foina
29673,Meles meles
29674,Mustela erminea
29679,Mustela eversmanii
29680,Vormela peregusna
39426,Galidia elegans
39547,Eupleres major
40784,Neovison macrodon
68336601,Eupleres goudotii
41589,Nandinia binotata
41590,Atilax paludinosus
41592,Bdeogale nigripes
41593,Crossarchus alexandri
41594,Crossarchus ansorgei
41595,Crossarchus obscurus
41596,Crossarchus platycephalus
41597,Cynictis penicillata
41598,Dologale dybowskii
41599,Herpestes flavescens
41600,Herpestes pulverulentus
41606,Herpestes sanguineus
41608,Helogale hirtula
41609,Helogale parvula
41610,Herpestes brachyurus
41611,Herpestes edwardsii
41612,Herpestes fuscus
41613,Herpestes ichneumon
70203940,Herpestes javanicus
41615,Herpestes naso
41616,Herpestes semitorquatus
41617,Herpestes smithii
41619,Herpestes vitticollis
41620,Ichneumia albicauda
41621,Mungos mungo
41622,Paracynictis selousi
41623,Rhynchogale melleri
41624,Suricata suricatta
70205537,Arctonyx collaris
41626,Melogale moschata
41627,Melogale personata
41628,Mydaus javanensis
41629,Mellivora capensis
41630,Conepatus chinga
41631,Conepatus humboldtii
41632,Conepatus leuconotus
41633,Conepatus semistriatus
41634,Mephitis macroura
41635,Mephitis mephitis
41636,Spilogale putorius
41637,Spilogale pygmaea
41639,Galictis cuja
41640,Galictis vittata
41644,Eira barbara
41645,Ictonyx libycus
41646,Ictonyx striatus
41647,Lyncodon patagonicus
41648,Martes americana
41649,Martes flavigula
41650,Martes melampus
41652,Martes zibellina
41653,Mustela altaica
41654,Mustela frenata
41655,Mustela kathiah
41656,Mustela itatsi
41657,Mustela nudipes
41658,Mustela putorius
41659,Mustela sibirica
41661,Neovison vison
41662,Poecilogale albinucha
41663,Taxidea taxus
48637566,Bassaricyon alleni
41679,Potos flavus
41680,Bassariscus astutus
41683,Nasua narica
41684,Nasua nasua
41685,Procyon cancrivorus
41686,Procyon lotor
41689,Hemigalus derbyanus
41690,Arctictis binturong
41691,Arctogalidia trivirgata
41692,Paguma larvata
41693,Paradoxurus hermaphroditus
41694,Paradoxurus zeylonensis
41696,Genetta angolensis
41697,Melogale orientalis
41698,Genetta genetta
41699,Genetta maculata
41701,Genetta thierryi
41702,Genetta tigrina
41703,Genetta victoriae
41704,Poiana richardsonii
41705,Prionodon linsang
41706,Prionodon pardicolor
41707,Viverra megaspila
41708,Viverra tangalunga
41709,Viverra zibetha
41710,Viverricula indica
44165,Poiana leightoni
136223,Genetta bourloni
136242,Meles anakuma
136385,Meles leucurus
136435,Genetta poensis
136437,Genetta pardina
136456,Cryptoprocta spelea
136636,Spilogale angustifrons
136686,Bdeogale omnivora
136797,Spilogale gracilis
2055,Arctocephalus australis
2057,Arctocephalus galapagoensis
2060,Arctocephalus pusillus
2061,Arctocephalus townsendi
2062,Arctocephalus tropicalis
3590,Callorhinus ursinus
6204,Cystophora cristata
8010,Erignathus barbatus
8239,Eumetopias jubatus
9660,Halichoerus grypus
10340,Hydrurga leptonyx
11696,Leptonychotes weddellii
12246,Lobodon carcinophaga
13581,Mirounga angustirostris
13583,Mirounga leonina
13654,Neomonachus schauinslandi
13655,Neomonachus tropicalis
14549,Neophoca cinerea
15106,Odobenus rosmarus
61963499,Odobenus rosmarus
15269,Ommatophoca rossii
17013,Phoca vitulina
17023,Phoca largha
41664,Arctocephalus forsteri
41666,Zalophus californianus
41668,Zalophus wollebaeki
41669,Pusa caspica
41670,Histriophoca fasciata
41671,Pagophilus groenlandicus
41672,Pusa hispida
41676,Pusa sibirica
3755,Canis mesomelas
15642,Otocyon megalotis
23060,Vulpes chama
41588,Vulpes zerda
22780,Urocyon cinereoargenteus
23061,Vulpes ferrilata
23053,Vulpes rueppellii
3753,Canis adustus
23050,Vulpes cana
8541,Felis margarita
9948,Herpailurus yagouaroundi
54012637,Leopardus tigrinus
11511,Leopardus wiedii
12521,Lynx rufus
15310,Leopardus geoffroyi
15311,Leopardus guigna
15452,Leopardus jacobita
15959,Panthera pardus
15962,Panthera pardus
18148,Prionailurus planiceps
18149,Prionailurus rubiginosus
18150,Prionailurus viverrinus
18306,Caracal aurata
22732,Panthera uncia
54010476,Leopardus guttulus
899,Vulpes lagopus
23059,Vulpes velox
23051,Vulpes corsac
61382004,Halichoerus grypus
61382025,Halichoerus grypus
41665,Otaria byronia
2059,Arctocephalus philippii
41587,Vulpes macrotis
41660,Mustela subpalmata
2066,Arctocephalus pusillus
2067,Arctocephalus pusillus
8012,Erignathus barbatus
8013,Erignathus barbatus
17014,Phoca vitulina
17018,Phoca vitulina
17020,Phoca vitulina
17021,Phoca vitulina
17022,Phoca vitulina
41673,Pusa hispida
41674,Pusa hispida
41675,Pusa hispida
41677,Pusa hispida
17345844,Eumetopias jubatus
17367725,Eumetopias jubatus
15108,Odobenus rosmarus
2058,Arctocephalus gazella
68369199,Melogale cucphuongensis
70204120,Herpestes auropunctatus
70205771,Arctonyx hoevenii
70206273,Arctonyx albogularis
70207817,Mustela russelliana
70207949,Mustela tonkinensis
2064,Arctocephalus australis
72261777,Nasuella meridensis
5953,Cuon alpinus
23049,Vulpes bengalensis
4248,Cerdocyon thous
6923,Dusicyon australis
82337482,Dusicyon avus
10276,Parahyaena brunnea
6929,Lycalopex culpaeus
6928,Lycalopex gymnocercus
14925,Nyctereutes procyonoides
6925,Lycalopex sechurae
41605,Herpestes ochraceus
41618,Herpestes urva
12847,Martes gwatkinsii
6926,Lycalopex vetulus
68986842,Lynx lynx
4819,Chrysocyon brachyurus
12303,Lontra felina
12305,Lontra provocax
41591,Bdeogale crassicauda
41700,Genetta servalina
16218,Pardofelis marmorata
4038,Catopuma temminckii
15309,Leopardus colocolo
11509,Leopardus pardalis
136603,Neofelis diardi
18151,Prionailurus bengalensis
18868,Puma concolor
12518,Lynx canadensis
3847,Caracal caracal
41586,Lycalopex fulvipes
714,Ailurus fulgens
6927,Lycalopex griseus
4037,Catopuma badia
41667,Zalophus japonicus
41687,Ursus americanus
15951,Panthera leo
13653,Monachus monachus
118264888,Canis lupaster
41688,Ursus arctos
12519,Lynx lynx
712,Ailuropoda melanoleuca
15953,Panthera onca
22066,Tremarctos ornatus
9760,Helarctos malayanus
219,Acinonyx jubatus
41651,Martes pennanti
41695,Civettictis civetta
70207409,Mustela nivalis
131299383,Felis lybica
11638,Leptailurus serval
118264161,Canis aureus
3745,Canis latrans
3746,Canis lupus
3747,Canis rufus
124159083,Panthera pardus
15954,Panthera pardus
1793,Aonyx capensis
1794,Aonyx congicus
7750,Enhydra lutris
12302,Lontra canadensis
12304,Lontra longicaudis
12419,Lutra lutra
12420,Hydrictis maculicollis
12421,Lutra sumatrana
12427,Lutrogale perspicillata
18711,Pteronura brasiliensis
44166,Aonyx cinereus
12436,Lycaon pictus
13143,Melursus ursinus
2613,Bassariscus sumichrasti
48637280,Bassaricyon neblina
48637802,Bassaricyon medius
22824,Ursus thibetanus
12520,Lynx pardinus
8542,Felis nigripes
15640,Otocolobus manul
61382318,Pusa hispida
181049859,Felis silvestris
23062,Vulpes vulpes
14519,Neofelis nebulosa
8540,Felis chaus
18146,Prionailurus bengalensis
8539,Felis bieti
15955,Panthera tigris