"","species","hap.chrom","range.size","tipRates"
"Acinonyx_jubatus","Acinonyx_jubatus",19,1,0
"Caracal_caracal","Caracal_caracal",19,1,0
"Felis_catus","Felis_catus",19,1,0
"Felis_chaus","Felis_chaus",19,0,45.9900240397463
"Felis_margarita","Felis_margarita",19,1,0
"Felis_nigripes","Felis_nigripes",19,0,35.0932585900024
"Felis_silvestris","Felis_silvestris",19,1,57.4308334051108
"Leopardus_colocolo","Leopardus_colocolo",18,0,0
"Leopardus_geoffroyi","Leopardus_geoffroyi",18,0,18.0808317719656
"Leopardus_pardalis","Leopardus_pardalis",18,1,46.9306730571606
"Leopardus_tigrinus","Leopardus_tigrinus",18,0,344.217397162873
"Leptailurus_serval","Leptailurus_serval",19,1,32.8829098304768
"Lynx_lynx","Lynx_lynx",19,1,49.3243647457151
"Lynx_rufus","Lynx_rufus",19,0,6.89778063771838
"Neofelis_nebulosa","Neofelis_nebulosa",19,0,13.0108473033211
"Panthera_leo","Panthera_leo",19,1,0
"Panthera_pardus","Panthera_pardus",19,1,64.4081606861209
"Panthera_tigris","Panthera_tigris",19,1,71.104440612076
"Prionailurus_bengalensis","Prionailurus_bengalensis",19,1,3.69749593402677
"Prionailurus_viverrinus","Prionailurus_viverrinus",19,0,0
"Puma_concolor","Puma_concolor",19,1,0
"Uncia_uncia","Uncia_uncia",19,0,11.9053538794535
"Ailuropoda_melanoleuca","Ailuropoda_melanoleuca",21,0,9.50008851685039
"Helarctos_malayanus","Helarctos_malayanus",37,0,16.7993384335248
"Tremarctos_ornatus","Tremarctos_ornatus",26,0,0
"Ursus_americanus","Ursus_americanus",37,0,0
"Ursus_arctos","Ursus_arctos",37,1,15.9640979439325
"Ursus_maritimus","Ursus_maritimus",37,1,0
"Ursus_thibetanus","Ursus_thibetanus",37,1,13.9944177106211
"Ailurus_fulgens","Ailurus_fulgens",18,0,30.4398808262623
"Eira_barbara","Eira_barbara",19,1,39.7141443396334
"Enhydra_lutris","Enhydra_lutris",19,1,0
"Galictis_vittata","Galictis_vittata",19,0,0
"Gulo_gulo","Gulo_gulo",21,1,58.7965265567033
"Ictonyx_striatus","Ictonyx_striatus",19,0,135.275555222138
"Lutra_lutra","Lutra_lutra",18,1,43.4290438522735
"Martes_americana","Martes_americana",19,1,0
"Martes_flavigula","Martes_flavigula",20,0,16.9620192071266
"Martes_foina","Martes_foina",19,1,20.9607680603905
"Martes_martes","Martes_martes",19,1,10.6964584823114
"Martes_melampus","Martes_melampus",19,0,0
"Martes_zibellina","Martes_zibellina",19,0,0
"Meles_meles","Meles_meles",22,1,20.6262993938727
"Mellivora_capensis","Mellivora_capensis",20,1,49.7163300692293
"Melogale_moschata","Melogale_moschata",19,0,0
"Mustela_altaica","Mustela_altaica",22,0,3.29621059289473
"Mustela_erminea","Mustela_erminea",22,1,3.55977255365981
"Mustela_frenata","Mustela_frenata",21,1,0
"Mustela_itatsi","Mustela_itatsi",19,0,0
"Mustela_lutreola","Mustela_lutreola",19,1,5.38552772798805
"Mustela_nigripes","Mustela_nigripes",19,0,0
"Mustela_nivalis","Mustela_nivalis",21,1,6.66837532207575
"Mustela_sibirica","Mustela_sibirica",19,0,6.78615354819354
"Taxidea_taxus","Taxidea_taxus",16,0,0
"Vormela_peregusna","Vormela_peregusna",19,0,0
"Arctictis_binturong","Arctictis_binturong",21,0,7.04706999188448
"Genetta_genetta","Genetta_genetta",27,1,15.9023584684516
"Genetta_maculata","Genetta_maculata",26,0,6.38141681678362
"Genetta_pardina","Genetta_pardina",26,0,0
"Genetta_tigrina","Genetta_tigrina",27,0,0
"Hemigalus_derbyanus","Hemigalus_derbyanus",21,0,365.131592229801
"Paguma_larvata","Paguma_larvata",22,0,36.6525730609847
"Prionodon_linsang","Prionodon_linsang",17,0,36.6525730609846
"Viverricula_indica","Viverricula_indica",18,1,13.0404784963621
"Arctocephalus_forsteri","Arctocephalus_forsteri",18,0,0
"Arctocephalus_pusillus","Arctocephalus_pusillus",18,1,21.2560466641661
"Callorhinus_ursinus","Callorhinus_ursinus",18,1,0
"Eumetopias_jubatus","Eumetopias_jubatus",18,1,35.9805779062496
"Phocarctos_hookeri","Phocarctos_hookeri",18,0,35.9805779062496
"Zalophus_californianus","Zalophus_californianus",18,1,54.4517201252019
"Atelocynus_microtis","Atelocynus_microtis",37,0,2.64979005997439
"Canis_latrans","Canis_latrans",39,0,0
"Canis_lupus","Canis_lupus",39,1,17.0156468300026
"Chrysocyon_brachyurus","Chrysocyon_brachyurus",38,0,0
"Cuon_alpinus","Cuon_alpinus",39,1,16.4429265929947
"Lycaon_pictus","Lycaon_pictus",19,1,12.3321949447461
"Nyctereutes_procyonoides","Nyctereutes_procyonoides",21,1,0
"Otocyon_megalotis","Otocyon_megalotis",36,0,12.3290330189818
"Speothos_venaticus","Speothos_venaticus",37,0,12.3290330189818
"Urocyon_cinereoargenteus","Urocyon_cinereoargenteus",33,1,0
"Vulpes_corsac","Vulpes_corsac",18,0,0
"Vulpes_macrotis","Vulpes_macrotis",25,0,9.49530854748247
"Vulpes_vulpes","Vulpes_vulpes",17,1,0
"Atilax_paludinosus","Atilax_paludinosus",18,0,51.2412269031087
"Helogale_parvula","Helogale_parvula",18,1,94.2591115805396
"Herpestes_javanicus","Herpestes_javanicus",18,1,0
"Suricata_suricatta","Suricata_suricatta",18,1,211.726806046226
"Bassariscus_astutus","Bassariscus_astutus",19,0,2.036325275271
"Nasua_nasua","Nasua_nasua",19,1,0
"Potos_flavus","Potos_flavus",19,1,30.7495876345666
"Procyon_lotor","Procyon_lotor",19,1,0
"Mephitis_macroura","Mephitis_macroura",25,0,0
"Mephitis_mephitis","Mephitis_mephitis",25,1,27.5313395969754
"Spilogale_gracilis","Spilogale_gracilis",30,0,0
"Spilogale_putorius","Spilogale_putorius",32,0,42.0417022531333
"Crocuta_crocuta","Crocuta_crocuta",20,1,53.5224569540672
"Cryptoprocta_ferox","Cryptoprocta_ferox",21,0,0
"Fossa_fossana","Fossa_fossana",21,0,78.4354988980114
"Galidia_elegans","Galidia_elegans",22,0,72.2363724355576
"Cystophora_cristata","Cystophora_cristata",17,1,0
"Erignathus_barbatus","Erignathus_barbatus",17,1,64.6427927887559
"Halichoerus_grypus","Halichoerus_grypus",16,1,55.4404293298539
"Mirounga_angustirostris","Mirounga_angustirostris",17,0,0
"Monachus_schauinslandi","Monachus_schauinslandi",17,0,102.395386910541
"Phoca_largha","Phoca_largha",16,0,0
"Phoca_vitulina","Phoca_vitulina",16,1,12.0047031353257
"Pusa_hispida","Pusa_hispida",16,1,9.84661848274242
"Pusa_sibirica","Pusa_sibirica",16,0,11.1582462288072
"Nandinia_binotata","Nandinia_binotata",19,0,13.7892199662093
"Odobenus_rosmarus","Odobenus_rosmarus",16,1,13.7892199662093
